Date,Semantic tag,Label
2024/12/12,neutral,other
2024/12/13,neutral,other
2024/12/13,negative,other
2024/12/13,neutral,disaster
2024/12/13,neutral,other
2024/12/13,neutral,disaster
2024/12/13,positive,advertisement
2024/12/13,neutral,disaster
2024/12/13,neutral,advertisement
2024/12/13,neutral,disaster
2024/12/13,neutral,other
2024/12/13,negative,other
2024/12/13,neutral,other
2024/12/13,neutral,other
2024/12/13,positive,other
2024/12/13,neutral,disaster
2024/12/13,neutral,other
2024/12/14,positive,other
2024/12/14,neutral,other
2024/12/14,neutral,other
2024/12/14,neutral,advertisement
2024/12/14,neutral,other
2024/12/14,neutral,other
2024/12/14,neutral,advertisement
2024/12/14,neutral,other
2024/12/14,neutral,other
2024/12/14,neutral,advertisement
2024/12/14,neutral,other
2024/12/14,neutral,other
2024/12/14,neutral,other
2024/12/14,negative,other
2024/12/14,neutral,other
2024/12/14,negative,other
2024/12/14,neutral,other
2024/12/14,negative,other
2024/12/15,neutral,other
2024/12/15,neutral,other
2024/12/15,neutral,disaster
2024/12/15,negative,other
2024/12/15,negative,other
2024/12/15,neutral,other
2024/12/15,neutral,other
2024/12/15,positive,other
2024/12/15,negative,other
2024/12/15,positive,other
2024/12/15,neutral,other
2024/12/16,negative,other
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/16,positive,other
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/16,neutral,disaster
2024/12/16,neutral,other
2024/12/16,negative,other
2024/12/16,neutral,other
2024/12/16,positive,advertisement
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/16,neutral,disaster
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/16,neutral,other
2024/12/17,neutral,disaster
2024/12/17,positive,other
2024/12/17,neutral,other
2024/12/17,neutral,other
2024/12/17,negative,other
2024/12/17,neutral,other
2024/12/17,neutral,other
2024/12/17,positive,advertisement
2024/12/17,neutral,other
2024/12/17,neutral,other
2024/12/17,negative,other
2024/12/17,neutral,other
2024/12/17,neutral,other
2024/12/17,neutral,other
2024/12/17,negative,other
2024/12/18,negative,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,positive,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,negative,other
2024/12/18,neutral,advertisement
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,negative,other
2024/12/18,neutral,advertisement
2024/12/18,neutral,disaster
2024/12/18,positive,advertisement
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/18,negative,other
2024/12/18,negative,other
2024/12/18,positive,advertisement
2024/12/18,neutral,other
2024/12/18,neutral,advertisement
2024/12/18,neutral,disaster
2024/12/18,positive,other
2024/12/18,neutral,other
2024/12/18,neutral,other
2024/12/19,neutral,other
2024/12/19,positive,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,other
2024/12/19,neutral,advertisement
2024/12/19,negative,disaster
2024/12/19,neutral,other
2024/12/19,positive,other
2024/12/19,neutral,other
2024/12/19,negative,other
